date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,-18,-20,0.6,1.6,1,83,06:49 PM,11:53 AM,10:00 AM,04:37 PM,-19,-27,-18,-27,21,99,94,0.8,1041,-18,8,111,14,perm
2021-01-02,-16,-23,0.0,1.6,1,76,08:16 PM,12:15 PM,10:00 AM,04:38 PM,-18,-26,-18,-26,26,93,93,0.0,1041,-16,10,115,17,perm
2021-01-03,-14,-21,0.9,1.6,1,69,09:45 PM,12:31 PM,10:00 AM,04:40 PM,-16,-23,-16,-23,26,85,93,1.2,1037,-14,8,120,16,perm
2021-01-04,-11,-18,4.7,1.7,1,62,11:14 PM,12:43 PM,09:59 AM,04:41 PM,-12,-17,-12,-17,18,98,95,5.5,1038,-11,2,145,12,perm
2021-01-05,-12,-16,0.3,1.7,1,56,No moonrise,12:53 PM,09:58 AM,04:43 PM,-14,-18,-13,-18,15,95,96,0.5,1042,-12,6,129,8,perm
2021-01-06,-14,-18,0.5,1.7,1,49,12:42 AM,01:03 PM,09:58 AM,04:44 PM,-15,-21,-15,-21,18,97,95,0.7,1043,-14,6,113,11,perm
2021-01-07,-11,-19,0.0,1.7,1,42,02:12 AM,01:12 PM,09:57 AM,04:46 PM,-15,-21,-14,-21,22,96,92,0.1,1035,-11,9,136,14,perm
2021-01-08,-11,-14,0.8,1.7,1,35,03:45 AM,01:24 PM,09:56 AM,04:48 PM,-13,-18,-13,-18,13,92,95,1.3,1029,-11,3,153,8,perm
2021-01-09,-8,-15,0.3,1.7,1,28,05:20 AM,01:39 PM,09:55 AM,04:49 PM,-12,-16,-11,-16,14,96,95,0.7,1025,-8,4,114,8,perm
2021-01-10,-19,-19,0.0,1.7,1,22,06:55 AM,02:01 PM,09:54 AM,04:51 PM,-19,-29,-19,-29,32,91,93,3.2,1021,-19,8,91,21,perm
2021-01-11,-20,-23,1.6,1.8,1,15,08:25 AM,02:35 PM,09:53 AM,04:53 PM,-22,-32,-21,-32,35,100,91,1.9,1022,-20,5,84,24,perm
